date,Open,High,Low,Close,Adj Close,Volume
11/19/2020,168.710007,173.440002,167.899994,171.369995,171.369995,6834900
11/20/2020,172.220001,174.410004,171.449997,172.309998,172.309998,6652900
11/23/2020,174.25,179.020004,173.589996,177.559998,177.559998,5755700
11/24/2020,179.759995,179.839996,177.100006,177.860001,177.860001,4688400
11/25/2020,177.729996,180.479996,177.350006,179.820007,179.820007,3780700
11/27/2020,180.809998,181.110001,178.949997,179.770004,179.770004,2371900
11/30/2020,178.25,180.070007,176.240005,179.529999,179.529999,8010000
12/1/2020,179.809998,181.169998,177.100006,179.050003,179.050003,5036500
12/2/2020,178.020004,178.210007,175.470001,176.410004,176.410004,3109300
12/3/2020,176.470001,176.470001,173.779999,174.919998,174.919998,4214600
12/4/2020,174.380005,175.160004,173.229996,175.029999,175.029999,2935700
12/7/2020,174.270004,174.949997,171.410004,172.910004,172.910004,3430800
12/8/2020,172.5,173.779999,171.740005,172.720001,172.720001,2682200
12/9/2020,173.350006,174.919998,172.410004,174.070007,174.070007,2853800
12/10/2020,173.589996,174.240005,172.070007,172.399994,172.399994,2643700
12/11/2020,171.5,172.75,171.070007,171.710007,171.710007,2676500
12/14/2020,172.960007,172.960007,170.169998,170.990005,170.990005,4016400
12/15/2020,170.649994,172.779999,170.649994,171.410004,171.410004,3490100
12/16/2020,172.009995,172.990005,170.710007,171.690002,171.690002,2193700
12/17/2020,172,172.279999,170.289993,171.240005,171.240005,3495300
12/18/2020,171.179993,172.179993,168.970001,170.419998,170.419998,6715800
12/21/2020,169.630005,173.059998,168.940002,171.759995,171.759995,4077400
12/22/2020,172.399994,173.110001,171.460007,172.350006,172.350006,3103200
12/23/2020,172.009995,176.330002,171.889999,174.910004,174.910004,4753000
12/24/2020,175.979996,176.509995,174.669998,175.190002,175.190002,1941200
12/28/2020,177.110001,177.460007,174.889999,176.389999,176.389999,2442000
12/29/2020,177.110001,177.770004,174.460007,175.039993,175.039993,2359700
12/30/2020,175.699997,176.059998,172.820007,173.880005,173.880005,1935200
12/31/2020,174.410004,176.669998,174.100006,176.529999,176.529999,2570400
1/4/2021,176.509995,178.089996,174.119995,177.630005,177.630005,3463100
1/5/2021,176.800003,181.970001,176.429993,180.369995,180.369995,4843300
1/6/2021,180.330002,189.470001,180.110001,188.919998,188.919998,5610100
1/7/2021,189.210007,192.350006,189.169998,191.100006,191.100006,4226700
1/8/2021,191.580002,193.880005,190.809998,193.600006,193.600006,3321500
1/11/2021,193.039993,199.5,192.190002,195.279999,195.279999,7222000
1/12/2021,196.169998,199.289993,195.649994,199.100006,199.100006,3866700
1/13/2021,198.520004,199.960007,195.279999,196.820007,196.820007,4098200
1/14/2021,196.990005,199.399994,196.899994,198.009995,198.009995,3321200
1/15/2021,197.649994,198.850006,194.009995,194.800003,194.800003,4289900
1/19/2021,194.419998,194.75,187.199997,188.160004,188.160004,5347800
1/20/2021,188.5,188.699997,184.539993,188.300003,188.300003,3443200
1/21/2021,190.100006,194.089996,189,191.270004,191.270004,4586600
1/22/2021,190.899994,192.380005,189.479996,191.910004,191.910004,3257100
1/25/2021,191.559998,193.110001,189.229996,190.149994,190.149994,3423900
1/26/2021,190.110001,190.559998,186.669998,187.699997,187.699997,3461200
